tx_lat,tx_lon,tx_el,rx_lat,rx_lon,rx_el,frequency_Hz,pathloss_dB,pl_los_index,propagation_delay_s,propagation_distance_m,rays_count,h_bar,SNR_dB,capacity,loss_dB
34.0698,-118.4421,114.225770260207,34.0674,-118.44225,109.278806836344,2400000000,108.422576818116,3,9.02742355626207e-07,270.635349733891,60,0.649002643141768,2.02974460563235,0.741705857191929,108.422582504205
34.0698,-118.44205,114.302219535224,34.0674,-118.44225,109.278806836344,2400000000,88.5792423394763,1,8.90309507632518e-07,266.908075673922,22,0.50727269475874,19.2813619709443,4.51147861784758,88.5792479426858
34.0698,-118.442,114.378664516844,34.0674,-118.44225,109.278806836344,2400000000,88.5909622841916,1,8.91511620646723e-07,267.268460089245,22,0.558796058613267,20.1066612442459,5.04446761107931,88.5909678937354
34.0698,-118.44195,114.455128095113,34.0674,-118.44225,109.278806836344,2400000000,88.6052341300616,1,8.92977673722304e-07,267.707971744331,14,0.308169236886265,14.9417904455815,1.9866574418134,88.605239718403
34.0698,-118.4419,114.531587379985,34.0674,-118.44225,109.278806836344,2400000000,88.6220326825163,1,8.94706367963053e-07,268.226221239896,15,0.326058959621461,15.4732351050089,2.24762466629304,88.6220382865971
34.0698,-118.44185,114.608057630248,34.0674,-118.44225,109.278806836344,2400000000,100.984681856509,13,1.06533843295136e-06,319.380427416358,22,0,-Inf,0,100.984687498259
34.0698,-118.4418,114.684500698932,34.0674,-118.44225,109.278806836344,2400000000,118.428771012523,7,1.06747509258751e-06,320.020981860586,19,0.034586568372924,-32.7505255253069,9.16087161469875e-07,118.428776630099
34.0698,-118.44175,114.760962364264,34.0674,-118.44225,109.278806836344,2400000000,127.358187675881,5,1.07080811483927e-06,321.02019679401,23,0,-Inf,0,127.358193247686
34.06975,-118.4427,150.036787427031,34.0674,-118.44225,109.278806836344,2400000000,95.5250937421379,1,8.90928835731466e-07,267.093745567014,7,0.125334178551463,0.322310604283947,0.0242045159101761,95.5250993498152
34.06975,-118.44265,150.036788277328,34.0674,-118.44225,109.278806836344,2400000000,88.5631573117219,1,8.88662307171191e-07,266.414257398802,5,0.143372644635578,8.15103900630457,0.181786712242815,88.5631629142836
34.06975,-118.4426,150.03678483516,34.0674,-118.44225,109.278806836344,2400000000,88.5435598322603,1,8.86659529107306e-07,265.813839640202,8,0.211776987017082,11.7512401374681,0.740923885195141,88.5435654373667
34.06975,-118.44255,113.222167572007,34.0674,-118.44225,109.278806836344,2400000000,137.77190142505,1,1.08628363299977e-06,325.659640422171,49,0,-Inf,0,137.77190703827
34.06975,-118.4425,113.411494228058,34.0674,-118.44225,109.278806836344,2400000000,137.381181922887,1,1.07091905041353e-06,321.053454442498,52,0,-Inf,0,137.381187488958
34.06975,-118.44245,113.584955079481,34.0674,-118.44225,109.278806836344,2400000000,136.962812130982,1,1.05555840693806e-06,316.448449378526,60,0,-Inf,0,136.962817751344
34.06975,-118.4424,113.661403887905,34.0674,-118.44225,109.278806836344,2400000000,136.512051035005,1,1.04019897014984e-06,311.84380607029,54,0,-Inf,0,136.512056682292
34.06975,-118.44235,113.737878919579,34.0674,-118.44225,109.278806836344,2400000000,132.837885243068,2,1.1167627498372e-06,334.797049776534,42,0,-Inf,0,132.837890834288
34.06975,-118.4423,113.814326769672,34.0674,-118.44225,109.278806836344,2400000000,132.931130601511,2,1.10662826990196e-06,331.758809126196,44,0.0524105823821933,-43.2332743622474,1.88228354484074e-07,132.93113617472
34.06975,-118.44225,113.89078558702,34.0674,-118.44225,109.278806836344,2400000000,132.47600804831,3,1.2592460686734e-06,377.512474154436,54,0.0452440108170082,-38.8422554160069,3.85541501550779e-07,132.476013636213
34.06975,-118.4422,113.967247741297,34.0674,-118.44225,109.278806836344,2400000000,125.585257583906,26,1.25264313705558e-06,375.532965054724,46,0.108496779961995,-29.8158513076031,1.77182342666711e-05,125.585263238673
34.06975,-118.44215,114.043705601245,34.0674,-118.44225,109.278806836344,2400000000,110.31289089325,6,1.25496522131546e-06,376.229108402676,26,0.039645718339703,-24.7573029093853,7.58290629258483e-06,110.31289651492
34.06975,-118.4421,114.120182056911,34.0674,-118.44225,109.278806836344,2400000000,102.715106367628,30,9.46625677122281e-07,283.791238550403,38,0.714229972764756,7.88929005161874,2.04881325410079,102.715111977026
34.06975,-118.44205,114.196631331928,34.0674,-118.44225,109.278806836344,2400000000,88.3972676267434,1,8.71851011216273e-07,261.374357662312,24,0.617450666619135,20.4934169416088,5.44994551910036,88.3972731779322
34.06975,-118.442,114.273068685085,34.0674,-118.44225,109.278806836344,2400000000,88.4094873567066,1,8.73078436617065e-07,261.742330540227,20,0.501637466586541,18.647351813635,4.28018178635707,88.4094929811028
34.06975,-118.44195,114.349532262422,34.0674,-118.44225,109.278806836344,2400000000,88.4243661472389,1,8.74575287740717e-07,262.191075217847,18,0.443396553040942,17.5875477307617,3.61833110943197,88.4243717484682
34.06975,-118.4419,134.861496459693,34.0674,-118.44225,109.278806836344,2400000000,88.4812251157748,1,8.80319151382732e-07,263.913042217503,4,0.127161611736957,6.87086137283705,0.109250908726866,88.4812307185536
34.06975,-118.44185,134.861493473873,34.0674,-118.44225,109.278806836344,2400000000,88.5011051866277,1,8.82336313797862e-07,264.51777229612,5,0.140488117288434,7.73822482898183,0.159948145962979,88.5011107671935
34.06975,-118.4418,134.861493824981,34.0674,-118.44225,109.278806836344,2400000000,102.703112039939,1,8.84775183942558e-07,265.248927171542,16,0.171320621258279,-4.5110068543925,0.0149089542143801,102.703117628546
34.06975,-118.44175,134.861489882693,34.0674,-118.44225,109.278806836344,2400000000,105.845261315345,1,8.87571179393976e-07,266.087145520479,22,0.159083115326615,-8.05997414529119,0.0056959699288928,105.845266979198
34.0697,-118.4427,150.036779625341,34.0674,-118.44225,109.278806836344,2400000000,95.4604290550021,1,8.72882632292263e-07,261.683629880408,7,0.162122781004072,1.98822548882806,0.0587240958876247,95.460434695757
34.0697,-118.44265,150.03678047657,34.0674,-118.44225,109.278806836344,2400000000,88.3844833370741,1,8.70568724914061e-07,260.989937899912,3,0.129048626609924,6.7679818660154,0.109859854186496,88.3844890025001
34.0697,-118.4426,150.036780848168,34.0674,-118.44225,109.278806836344,2400000000,88.36406084827,1,8.68524225649736e-07,260.377012440081,7,0.241128790205702,12.247210678203,0.98220460617055,88.3640664366545
34.0697,-118.44255,113.229445841163,34.0674,-118.44225,109.278806836344,2400000000,138.2142244777,1,1.08808393109148e-06,326.199356212217,62,0,-Inf,0,138.214230103352
34.0697,-118.4425,113.402910987847,34.0674,-118.44225,109.278806836344,2400000000,137.862552228153,1,1.07286712687792e-06,321.637473074128,60,0,-Inf,0,137.862557859086
34.0697,-118.44245,113.479364087805,34.0674,-118.44225,109.278806836344,2400000000,137.490640085555,1,1.05767703323914e-06,317.08359756491,58,0,-Inf,0,137.490645695863
